question,option_l,option_r,answer,type
红魔 指的是哪支英超联赛球队,曼联,切尔西,曼联,factoid
中国古代 不惑 是指男子多少岁,40,60,40,factoid
美剧 西部世界 中 玩家是乘坐什么交通工具进入乐园的,汽车,火车,火车,factoid
下列各位诗人 属于唐代 边塞诗人 的是,柳宗元,岑参,岑参,factoid
颜体 是哪位书法家创立的,颜真卿,柳公权,颜真卿,factoid
迎客松是我国著名风景区五台山的标志性景点,错误,正确,错误,yesno
道家学说的创始人是,老子,墨子,老子,factoid
陈思成主演的电视剧 士兵突击 中 许三多的扮演者是,小沈阳,王宝强,王宝强,factoid
黄花岗起义第一枪是谁开的,贾金彪,黄兴,黄兴,factoid
荆轲刺秦时用的武器是剑,错误,正确,错误,yesno
提出 性恶论 主张的是,荀子,墨子,荀子,factoid
世界上国家最多的大洲是,欧洲,非洲,非洲,factoid
明末 白杆兵 的统帅是,左良玉,秦良玉,秦良玉,factoid
战国初期第一次成功的变法是,李悝变法,吴起变法,李悝变法,factoid
坐标轴由哪两个字母表示,EW,XY,XY,factoid
三国时期的官渡之战胜利者是,袁绍,曹操,曹操,factoid
下列车标中没有字母的是,奥迪,现代,奥迪,factoid
下列选项中不属于中国古代 四大美女 的是,妲己,杨玉环,妲己,factoid
古代一个时辰等于现代的几个小时,2个小时,半个小时,2个小时,factoid
淀粉遇到以下哪种试剂会变色,化亚钻溶液,碘液,碘液,factoid
公元1115年建立金政权的是我国哪个少数民族,俄罗斯族,女真族,女真族,factoid
大王意气尽 贱妾何聊生 出自,和垓下歌,江东赋,和垓下歌,factoid
代表作有 咏鹅 的骆宾王是哪个朝代的大诗人,唐朝,明朝,唐朝,factoid
明朝洪武大帝朱元璋所立的第位太子名叫,朱能,朱标,朱标,factoid
药王是指华佗,错误,正确,错误,yesno
国际间进行石油交易时 常用的单位是?,桶,吨,桶,factoid
世界第一大教堂是,圣彼得大教堂,圣玛利亚教堂,圣彼得大教堂,factoid
绿茶精品 碧螺春 原产自云南普洱,错误,正确,正确,yesno
中国的气候类型有几个,5个,6个,5个,factoid
我国被称为 林都 的城市是,伊春,州,伊春,factoid
杨家将后人 绰号 青面兽 的梁山好汉是哪位,杨林,杨志,杨志,factoid
下列选项中哪个不是江南三大名楼,铜雀楼,岳阳楼,铜雀楼,factoid
音乐城在奥地利,错误,正确,正确,yesno
三星高照 中的 三星 指的是福星 禄星和哪位神仙,寿星,笑星,寿星,factoid
艾菲尔铁塔 包含天线在内的高度是,324米,318米,324米,factoid
下列各数不能被3整除的是?,49,54,49,factoid
TEXT 在建筑物中表示的意思是,出租车,安全出口,安全出口,factoid
中国篮球协会的英文名称缩写是CBA,错误,正确,正确,yesno
九江市 上烧市是位于我国哪个省的城市,江苏,江西,江西,factoid
安全电压是多少v,12,36,36,factoid
贝多芬的 英雄交响曲 最初是为谁而做,拿破仑,华盛顿,拿破仑,factoid
儒家的代表人物 宗圣 是,曾参,颜回,曾参,factoid
炎黄文化的始祖 黄帝的陵墓位于哪个省,河南,陕西,陕西,factoid
只要有恒心的下一句是 点石可成金,错误,正确,错误,yesno
动画电影 红辣椒 的导演是,今千秋,今敏,今敏,factoid
世界上平均海拔最高的洲是,亚洲,南极洲,南极洲,factoid
电视剧 水浒传 中 被称为 入云龙 的是,萧让,公孙胜,公孙胜,factoid
陋室铭 中 苔痕上阶绿 下一句是,无案牍之劳形,草色入帘青,草色入帘青,factoid
三国演义 的作者是罗贯中,错误,正确,正确,yesno
按照现行单位换算 三千五百克是多少斤,3斤5两,7斤,7斤,factoid
造成煤气中毒的气体是,一氧化碳,氧气,一氧化碳,factoid
关于红绿色盲属以下哪种说法是正确的,显性遗传,隐性遗传,隐性遗传,factoid
红楼梦 中贾宝玉最终的结婚对象是,薛宝钗,林黛玉,薛宝钗,factoid
露从今夜白 的下一句是,月是故乡名,月是故乡明,月是故乡明,factoid
人们常喜欢用数字8代表 发财,错误,正确,正确,yesno
智者千虑 必有一失 这句话出自哪里,晏子春秋,《尚书》,晏子春秋,factoid
氛围的 氛正确读音是几声,一声,三声,一声,factoid
魔兽世界 下列哪一件是80级橙色装备,影之哀伤,冰之哀伤,影之哀伤,factoid
山头南郭寺 的下一句是,寺中坐千佛,水号北流泉,水号北流泉,factoid
世界上被翻译为不同语言最多的本者作是,悲惨世界,圣经,圣经,factoid
名著 水浒传 水浒108将 中 绰号 铁扇子 的是谁,宋清,史进,宋清,factoid
食 色 性也 是谁的名句,韩非子,告子,告子,factoid
巨鹿之战是一场以少胜多的战争,错误,正确,正确,yesno
一年共有24个节气,错误,正确,正确,yesno
的倒数是1 那么2的倒数是什么?,2,1/2,1/2,factoid
唐宋八大家中属于唐代是下列哪位,韩愈,王安石,韩愈,factoid
中国第一位被称为 皇帝 的是,秦始皇,周武王,秦始皇,factoid
经典角色 李雷和韩梅梅 出自哪个科目的教科书,语文,英语,英语,factoid
林正英的僵尸系列电影里 可以克制僵尸的是哪种木质材料,桃木,檀木,桃木,factoid
沉鱼落雁 闭月羞花 中的 羞花 是指,杨玉环,貂蝉,杨玉环,factoid
封神演义 中 哪吒的父亲托塔李天王名叫什么,李广,李靖,李靖,factoid
自动挡汽车中 N 代表什么档位,起步档,空档,空档,factoid
奔流到海不复回 是哪位诗人的诗句,韩愈,李白,李白,factoid
电视剧 西游记 中 唐僧在哪里收服了猪八戒作为徒弟,五指山,高老庄,高老庄,factoid
歌曲 一剪梅 的原唱是,刘文正,费玉清,费玉清,factoid
无事不登三宝殿中的 三宝 是指哪些,佛法僧,松竹梅,佛法僧,factoid
奇秀甲东南 是对哪座名山的赞美,庐山,武夷山,武夷山,factoid
黎明即起 洒扫庭除 要内外整洁 出自,朱子治家格言,弟子规,未子治家格言,factoid
声音在水中的传播速度比在空气中传播的快,错误,正确,正确,yesno
普洱茶的源产地是下列哪个省,云南省,广东省,云南省,factoid
含油最多的树是油棕 被称为 世界油王,错误,正确,正确,yesno
酥油茶是中国哪个民族的特色饮料,藏族,蒙古族,藏族,factoid
三国时期名将吕布使用的武器叫什么,吴钩,方天画戟,方天画戟,factoid
五行相生的顺序是金生水水生木木生火火生土土生金,错误,正确,正确,yesno
100以内的自然数中 一共有多少个质数,27个,25个,25个,factoid
我国地势第一与第二阶梯的分界线为昆仑山 横断山和哪座山,长白山,祁连山,祁连山,factoid
春秋时期伟大的教育家孔夫子是哪国人,秦国,鲁国,鲁国,factoid
以下历史战役不是以少胜多的是,马铃之战,巨鹿之战,马铃之战,factoid
中国的第三大岛屿是,海南,崇明,崇明,factoid
明天你是否会想起 昨日你写的日记 是老狼的 同桌的你,错误,正确,正确,yesno
下列不属于地跨俩大洲的国家的是,伊朗,印度尼西亚,伊朗,factoid
斯诺克比赛出白色球和红色球外 还有几颗其他彩球,7个,6个,6个,factoid
下列那个国家法定公路靠左行驶 车辆驾驶位在右侧,英国,德国,英国,factoid
血液的类型一般被分为A型 B型、0型和什么型共四种?,M,AB,AB,factoid
世界上最深的海是,爱琴海,珊瑚海,珊瑚海,factoid
蜡笔小新的妹妹小葵本名是,野原向日葵,野原樱葵,野原向日葵,factoid
下列属于豪放派词人的是,温庭筠,苏轼,苏轼,factoid
我国古代神话中 追逐太阳的夸父是怎么死的,渴死的,雷劈死的,渴死的,factoid
占据我国陆地总面积四分之一的高原是哪个,黄土高原,青藏高原,青藏高原,factoid
提出位移电流的人是,麦克斯韦,法拉第,麦克斯韦,factoid
著名画作 蒙娜丽莎 的作者达芬奇是哪国人,意大利,英国,意大利,factoid
以下哪个是我国贵州省的简称?,黔,,黔,factoid
本草纲目 的作者是李时珍,错误,正确,正确,yesno
汉字 国 的结构是,全包围结构,上下结构,全包围结构,factoid
蒿俊闵曾经效力的沙尔克04队是哪个欧洲国家的足球俱乐部,西班牙,德国,德国,factoid
会计的基本职能是,核算和监督,反映和汇报,核算和监督,factoid
狗热时用什么器官散热,舌头,鼻子,舌头,factoid
被人誉为日本特摄之父 特摄之神的是,庵野秀明,园谷英二,园谷英二,factoid
下列不是省会的城市是,西安,苏州,苏州,factoid
下面哪一选项曾是 三国演义 中刘备的坐骑,爪黄飞电,的卢,的卢,factoid
人体分解和代谢酒精的主要器官是肺,错误,正确,错误,yesno
以下哪个是酒精的学名,乙醇,乙酸,乙醇,factoid
诗句 先天下之忧而忧 后天下之乐而乐 出于哪篇文章,岳阳楼记,尊经阁记,岳阳楼记,factoid
中国陆地上面积最大的直辖市是,贵州,重庆,重庆,factoid
庭院深深深几许 是宋代哪位作家所写,欧阳修,陶渊明,欧阳修,factoid
所谓无底深渊 下去 也是前程万里 出自哪位名家之手,木心,冰心,木心,factoid
5的立方是多少,155,125,125,factoid
下面哪个不是我国佛教四大名山,泰山,五台山,泰山,factoid
哈萨克斯坦第一大城市是,阿拉木图,阿斯塔纳,阿拉木图,factoid
人们常说的 三伏天 的 头伏 指的是哪个季节里的一段时间,夏季,春季,夏季,factoid
下列不属于 眼折光异常 的是,色盲,远视,色盲,factoid
世界最大的咖啡生产国是,哥伦比亚,巴西,巴西,factoid
春江花月夜 是下列哪一位的作品,张若虚,白居易,张若虚,factoid
子不学 断机杼 出自中国古代哪位明家典故,庄子,孟子,孟子,factoid
元曲四大家 之首是,王羲之,关汉卿,关汉卿,factoid
地球实际是什么形状的星体,立方体,椭圆体,椭圆体,factoid
蓁 的正确读音是,zhen,zen,zhen,factoid
三脚插头比二脚插头多的脚接在什么线上,零线,地线,地线,factoid
三国演义 中诸葛亮七擒七纵的首领是孟获,错误,正确,正确,yesno
下列哪项不是安徽民居的特点,石门,天井,石门,factoid
下列属于建筑施工绘图工具常用软件的是,CAD,PSH,CAD,factoid
过一点有几条直线与已知直线平行,无数条,一条,一条,factoid
蓝宝石的属性是,刚玉,氧化铝,刚玉,factoid
元素周期表表中氧的前一个元素是?,氟,氮,氮,factoid
我们通常在哪个传统节日时一家人团圆吃月饼,重阳书,中秋节,中秋节,factoid
下列不属于 眼折光异常 的是,色盲,远视,,factoid
入药用的 鹿茸 是雄鹿的哪个部位,角,耳,耳,factoid
清朝道光年间 在虎门销禁鸦片的民族英雄是林则徐,错误,正确,正确,yesno
但愿人长久 千里共婵娟 描写的是什么节日,中秋,春节,中秋,factoid
十面埋伏 出自哪个历史时期,明清时期,楚汉争霸,楚汉争霸,factoid
正常成人的心率正常范围是每分钟多少次,60-100,小于60,100,factoid
李白是唐代哪个时期的诗人代表,中唐,盛唐,盛唐,factoid
电视剧 倚天屠龙记 中 张三丰的大徒弟是,宋远桥,俞岱岩,宋远桥,factoid
我国唯一以湖泊而得名的省是,青海省,黑龙江省,青海省,factoid
下列哪道菜品是新疆的特色菜品,豌豆黄,大盘鸡,大盘鸡,factoid
地球上最大的陨石 重达60吨的 霍吧陨石 位于哪个大洲,非洲,欧洲,非洲,factoid
汉武帝时期统治阶级崇尚的学术思想是,儒家,佛教,儒家,factoid
古代所说的 燕赵之地 是现在的哪个省份,河北省,安徽省,河北省,factoid
夏练三伏 冬练,三九,四九,三九,factoid
湄公河在我在我国境内被称为,雅鲁藏布江,澜沧江,澜沧江,factoid
包青天 包拯的 谥号 是,孝肃,忠烈,孝肃,factoid
被我国车迷称为 汽车老三样 的是捷达 富康和哪种车,桑塔纳,奇瑞,桑塔纳,factoid
screenshot_1576937027.jpg
迄今为止我国最古老的文字是,隶书,甲骨文,甲骨文,factoid
009年 由博尔特创造的男子百米世界记录是多少,9秒58,9秒55,9秒58,factoid
莘莘学子 的 莘 字读音是?,shen,,shen,factoid
海内存知己 天涯若比邻 出自哪朝 哪位诗人笔下,唐朝李煜,唐朝王勃,唐朝王勃,factoid
花甲之年 指的是多少岁,五十岁,六十岁,六十岁,factoid
比萨的发明人是,丹尼尔,马可波罗,马可波罗,factoid
三国演义 中曹操听从了谁的遗言计定辽东,郭奉孝,张文远,郭奉孝,factoid
英国最大的广播公司是,ABC,BBC,BBC,factoid
以烈士刘志丹命名的志丹县在哪个省,河南省,陕西省,陕西省,factoid
屈光介质不包括,玻璃体,小梁网,小梁网,factoid
Jay Chou是台湾歌坛小天王周杰伦的英文名,错误,正确,正确,yesno
动画  Lovelive 中 东条希的头发是什么颜色,紫色,深蓝色,紫色,factoid
韩国的首都是哪座城市,釜山,首尔,首尔,factoid
下列选项中最小的距离单位是,纳米,英寸,纳米,factoid
赤壁之战发生在什么季节,夏,冬,冬,factoid
地球上的风由于地球公转的原因不能笔直流动,错误,正确,错误,yesno
苹果手机的操作系统是?,Android,IOS,IOS,factoid
一个棱长为3米的正方体 其体积为多少立方米,27立方米,24立方米,27立方米,factoid
在古代被称为 食铁兽 的是哪种国宝级动物,鲸鱼,大熊猫,大熊猫,factoid
狮子是属于什么科,猴科,猫科,猫科,factoid
散文写作的特点是,形散而神不散,神散而形不散,形散而神不散,factoid
足球规则中 以下哪种发球方式必须用手发球,角球,边界球,边界球,factoid
情景喜剧 闲人马大姐 中退休女工马大姐的扮演者是哪位演员,吕丽萍,蔡明,蔡明,factoid
下列哪一个不是清朝皇帝的年号,嘉靖,嘉庆,嘉靖,factoid
尼罗河的两条主要的支流 是青尼罗河和什么,白尼罗河,黄尼罗河,白尼罗河,factoid
出自李清照 打马赋 人们肚子饿时会画什么来充饥,烤肉,饼,饼,factoid
下列气体物质中不是可燃物的是?,氧气,酒精,氧气,factoid
以下哪个球队不属于英超,曼联,拜仁慕尼黑,拜仁慕尼黑,factoid
太阳系中哪颗行星的自转方向与其他行星不同,金星,火星,金星,factoid
把地中海和大西洋连接起来的海峡是,直布罗陀海峡,麦哲伦海峡,直布罗陀海峡,factoid
中国是什么时候加入世界贸易组织的, 2001年,1998年,2001年,factoid
世界上现存最大的猫科动物是,亚洲象,东北虎,东北虎,factoid
金庸小说中关于 乔峰 与 萧峰 的叙述 下列何项正确,同一人物,亲兄弟,同一人物,factoid
下列哪部著名歌剧不是根据法国作家的作品改编的,图兰朵,费加罗的婚礼,图兰朵,factoid
南北朝时期隐士 后被称作 山中宰相」的是?,陶弘景,陶行知,陶弘景,factoid
第三宇宙速度是每秒多少千米,18.9,16.7,16.7,factoid
下列数字中可以被6整除的数字为,138,98,138,factoid
奥运会竞技跳水按照起跳地材质分为跳板跳水和什么跳水两种,跳台,舞台,跳台,factoid
小说 人间失格 是日本哪位作家的作品,太宰治,芥川龙之芥,太宰治,factoid
桑拿浴源自于哪个国家,芬兰,英格兰,芬兰,factoid
多多果园里面一直不回来浇水 果树会如何,死亡,枯萎,枯萎,factoid
潮平两岸阔 的下一句是,风正一帆悬,江春人旧年,风正一帆悬,factoid
屈光介质不包括,玻璃体,小梁网,小梁网,factoid
心灵治愈小说 摆渡人 的作者克莱儿·麦克福尔是哪个国家的?,英国,美国,英国,factoid
电视剧 飞狐外传 中 下列谁不是故事的主要角色,胡斐,苗若兰,苗若兰,factoid
红外线是一种红颜色的光,错误,正确,错误,yesno
下面哪一部著作是庄周写的,孙子兵法,逍遥游,逍遥游,factoid
不孝有三 无后为大 是谁说的,孟子,老子,孟子,factoid
钢琴有多少个黑键 多少个白键,37黑51白,36黑52白,36黑52白,factoid
第一个登陆月球的国家是,韩国,美国,美国,factoid
司马迁所著的史记中 记载韩信生平的列传叫什么,淮阴侯列传,韩信传,淮阴侯列传,factoid
支持王安石变法的皇帝是,宋神宗,宋钦宗,宋神宗,factoid
三国演义 中蜀国的五虎大将里被称为常胜将军的是赵子龙,错误,正确,正确,yesno
一般通常所见的章鱼有多少只触角,八只,十二只,八只,factoid
谚语 冰冻三尺的下一句是,非一日之寒,得穿秋裤,非一日之寒,factoid
湖北省和湖南省中的湖是指鄱阳湖,错误,正确,错误,yesno
偶函数的图象关于什么对称,Y轴,原点,Y轴,factoid
隋朝赵州桥的设计者是李春,错误,正确,正确,yesno
数字 8 开立方根后是多少,3,2,2,factoid
著名的 阿拉伯半岛电视台 是哪个亚洲国家的电视台,阿拉伯,卡塔尔,卡塔尔,factoid
太阳系八大行星中体积最大的是,木星,土星,木星,factoid
清朝皇宫中服侍皇室人员的已婚老年女仆或者养母 一般称之为,常在,嬤嬤,嬤嬤,factoid
诗句 不以物喜 的下一句是,不以己悲,不以吾悲,,factoid
山东省的简称是?,鲁,,鲁,factoid
士别三日当刮目相待 说的哪位吴国名将,吕蒙,陆逊,吕蒙,factoid
在拼多多中最多只能2个人一起拼单吗,是,不是,不是,factoid
联合国国旗上的世界地图被哪种植物的枝叶环绕,常青藤,橄榄,橄榄,factoid
清朝著名的军机处是哪位皇帝设立的,雍正,康熙,雍正,factoid
宁夏回族自治区的首府是,银川,中卫,银川,factoid
印象派 一词源于莫奈 日出,错误,正确,正确,yesno
由邓紫棋演唱 电视剧 上古情歌 的主题曲叫什么,泡沫,桃花诺,桃花诺,factoid
袋装薯片及膨化食品里面是什么气体,氧气,氮气,氮气,factoid
1300除以600 商是2 余数是多少,100,50,100,factoid
多多果园里面云朵宝宝的作用是,没什么用,给果树浇水,给果树浇水,factoid
我国历史上被称为 画圣 的是,吴道子,齐白石,吴道子,factoid
即时通信APP 微信 的创始人是,赵小龙,张小龙,张小龙,factoid
三角尺里最大的角多少度,60度,90度,90度,factoid
天津大学的前身是,北洋学府,北洋大学,北洋大学,factoid
北半球海洋中的水都是以逆时针方向流动,错误,正确,正确,yesno
刘邦的出生地是今,麦城,丰县,丰县,factoid
下列哪一个奢侈珠宝品牌的历史最悠久,施华洛世奇,蒂凡尼,蒂凡尼,factoid
下列哪个不是三国魏政权奠基人曹操的儿子,曹彰,曹睿,曹睿,factoid
隆中对 记载了刘备和谁的谈话内容,水镱先生,诸葛亮,诸葛亮,factoid
啤酒瓶盖上有多少个齿,21个,19个,21个,factoid
电视剧 鹿鼎记 中 哪位角色的心脏长在左边,鳌拜,多隆,多隆,factoid
电视剧 楚乔传 的女主角是,迪丽热巴,赵丽颖,赵丽颖,factoid
人生自古谁无死 留取丹心照汗青 中的 汗青 指的是,青春,史书,史书,factoid
汉字 廿 nian 表示二十,错误,正确,正确,yesno
被誉为 西方音乐之父 的是哪位作曲家,巴赫,肖邦,巴赫,factoid
朱雀 一般指的是以下哪个方位,南,中,南,factoid
站在地球的什么位置 四面方向都是北方,南极点,南极圈,南极点,factoid
如果在高速公路上发生事故 救援电话是多少,12119,12122,12122,factoid
三个火枪手 的作者大仲马是哪个国家的,法国,英国,法国,factoid
篮球比赛中 每队同时上场人数是,5个,6个,5个,factoid
除法算式的结果被称为,商,积,商,factoid
飞蛾从 蛹 发育成 蛾 的发育过程被称为,完全变态发育,退化发育,完全变态发育,factoid



小型民用车牌照底色是蓝色 中 大型民用车辆牌照底色是黄色,错误,正确,正确,yesno
一个标准的高尔夫球场通常有几个洞,18,72,18,factoid
夏满芒夏暑相连 中 芒 指的是,芒种,小芒,芒种,factoid
联合国总部位于哪个国家,美国,中国,美国,factoid
英国女王曾向谁求画72次,弗洛伊德,毕加索,弗洛伊德,factoid


下列物种属于真菌的是,大肠杆菌,酵母菌,酵母菌,factoid
后汉书梁红传 中的成语 举案齐眉 描述的是什么关系,夫妻,父子,夫妻,factoid
宿世谬词客 前身应画师 是哪位诗人对自己的评价,王勃,王维,王维,factoid
物体自由落体时间与什么因素有关 不考虑摩擦力的情况下,倾斜度,高度,高度,factoid
欧文斯奖 是哪项体育赛事的最高荣誉奖项,台球,田径,田径,factoid
我国第一部长篇讽刺小说是,水浒传,儒林外史,儒林外史,factoid
9在数学中我们一般用什么英文字母来表示图形的高?,,h,h,factoid
消费者投诉举报专线电话号码是12315,错误,正确,正确,yesno
下面谁不属于唐宋八大家之一的是,柳宗元,司马光,司马光,factoid
下列哪位艺人未在自己的专辑中演唱过  Hey Jude,巴迪瞿利,孙燕姿,巴迪瞿利,factoid
民无信不主 出自哪本书,论语,礼记,论语,factoid
被称为 世界佤乡 的是,丽江,临沧,临沧,factoid
成吉思汗的孙子忽必烈建立的是哪个朝代,元朝,明朝,元朝,factoid
截止2017年 印度人口数量位于世界第几位,第二,第五,第二,factoid
路虎 汽车是哪个国家的品牌,日本,英国,英国,factoid
世界上最早的交通信号灯是哪一年问世的,1868,1886,1868,factoid
麦琪的礼物 是哪位作家的短篇小说,欢亨利,莫泊桑,莫泊桑,factoid
天然牛黄是指来自牛胆囊中的什么,血小板,结石,结石,factoid
哈利波特 系列电影中哈利就读的魔法学校是霍格沃兹,错误,正确,正确,yesno
现代物理量子力学的开创者是,普朗克,爱因斯坦,普朗克,factoid
下列不是诺贝尔奖得主的是,李四光,杨振宁,李四光,factoid
化学平衡常数只受什么影响,压强,温度,温度,factoid
我国著名诗人 作家 翻译家 冰心 的原名是,谢婉莹,谢大脚,谢婉莹,factoid
现代奥运会历史上获得金牌数量最多的是哪位运动员,菲尔普斯,张怡宁,菲尔普斯,factoid
海外版微信的称呼是,Wechat,We,Wechat,factoid
著名战役 斯大林格勒保卫战 的苏军指挥官是,赫鲁晓夫,朱可夫,朱可夫,factoid
大珠小珠落玉盘 出自白居易的,《琵琶行》,《长恨歌》,《琵琶行》,factoid
